page_num,hotel_a_features,hotel_b_features,idx_a,idx_b,prediction
445,"[-0.25695140579982867 -0.984156918210485 -0.3240698112600186
 -0.4635041188773349 -0.5657050027844548 0.30888102440960397
 1.0367159781940554 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 0.7008542091551023
 0.8326077009406828]","[0.2914259983319556 0.2696798912061659 0.047749635738232966
 2.157478130770716 -0.39901908817090725 0.30888102440960397
 1.5823448370737248 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 0.7008542091551023
 0.8326077009406828]",74422,74463,-1
445,"[1.0225958705076712 1.5235167006228167 -0.035464447085477524
 -0.4635041188773349 -0.39901908817090725 0.30888102440960397
 1.0635746458143855 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 -1.6260142273043765
 -0.5589368945508569]","[0.6570109344198151 0.2696798912061659 0.4440601840357706
 -0.4635041188773349 -0.39901908817090725 0.30888102440960397
 0.6288621365520052 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 0.7008542091551023
 0.8326077009406828]",74371,74349,-1
445,"[-0.43974387384375835 -0.984156918210485 -0.4114585136233801
 -0.4635041188773349 1.6567738587295138 0.30888102440960397
 0.9019252573586949 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 0.7008542091551023
 0.8326077009406828]","[1.2053883385515993 1.5235167006228167 0.04719301979961283
 -0.4635041188773349 -0.6212669743223042 0.30888102440960397
 2.237895280103264 -1.062762572597608 -1.062762572597608
 1.6105006587027777 1.4464376364191225 0.36844443251803394
 -0.5589368945508569]",74464,74415,1
445,"[0.6570109344198151 0.2696798912061659 -0.5673109764370186
 -0.4635041188773349 -0.06564725894381189 0.30888102440960397
 1.5629469104590419 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 -1.6260142273043765
 -0.5589368945508569]","[-0.6225363418876865 -0.984156918210485 -0.7070215770306729
 -0.4635041188773349 1.4345259725781172 0.30888102440960397
 0.7338098933647766 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 -1.6260142273043765
 0.8326077009406828]",74458,74482,1
445,"[0.2914259983319556 0.2696798912061659 -0.6847569394858675
 -0.4635041188773349 1.5456499156538157 -1.3668407784736536
 0.9974227422309797 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 0.7008542091551023
 0.8326077009406828]","[0.47421846637588694 0.2696798912061659 -0.36525939071790875
 -0.4635041188773349 1.6012118871916647 0.30888102440960397
 1.9444394672144718 -1.062762572597608 -1.062762572597608
 1.6105006587027777 1.4464376364191225 0.7008542091551023
 -0.5589368945508569]",74466,74407,1
445,"[1.0225958705076712 1.5235167006228167 -0.585400994442173
 -0.4635041188773349 -0.4545810597087564 0.30888102440960397
 1.6584443953313268 -1.062762572597608 -1.062762572597608
 1.6105006587027777 1.4464376364191225 -1.2936044506673081
 0.8326077009406828]","[0.6570109344198151 0.2696798912061659 -0.5673109764370186
 -0.4635041188773349 -0.06564725894381189 0.30888102440960397
 1.5629469104590419 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 -1.6260142273043765
 -0.5589368945508569]",74506,74458,-1
445,"[-0.8053288099316162 -0.984156918210485 5.1649982674424635
 2.157478130770716 -0.5101430312466056 0.30888102440960397
 1.0227892616501804 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 0.7008542091551023
 0.8326077009406828]","[1.936558210727315 2.7773535100394677 -0.5542305018794452
 -0.4635041188773349 2.3790794887215543 0.30888102440960397
 0.6746213480533084 -1.062762572597608 -1.062762572597608
 1.6105006587027777 1.4464376364191225 -1.6260142273043765
 -1.2547091922966267]",74361,74385,-1
445,"[-1.902083618195188 -0.984156918210485 -0.8561946485808697
 -0.4635041188773349 -0.7323909173980025 0.30888102440960397
 0.53435941714714 0.9409439377939296 0.9409439377939296 1.6105006587027777
 1.4464376364191225 -1.6260142273043765 -1.9504814900423966]","[-1.353706214063402 -0.984156918210485 -0.11283406255367658
 -0.4635041188773349 -0.06564725894381189 0.30888102440960397
 0.86064249046078 0.9409439377939296 0.9409439377939296 1.6105006587027777
 1.4464376364191225 0.7008542091551023 0.8326077009406828]",74351,74453,1
445,"[-1.1709137460194723 -0.984156918210485 -0.5294610926108492
 -0.4635041188773349 2.323517517183704 0.30888102440960397
 0.19414962728962498 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 -1.2936044506673081
 0.8326077009406828]","[1.7537657426833868 2.7773535100394677 0.2581504605366448
 -0.4635041188773349 -0.6212669743223042 0.30888102440960397
 2.488576177893012 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 1.3656737624292392
 0.8326077009406828]",74390,74481,-1
445,"[1.0225958705076712 1.5235167006228167 2.4709771245209997
 -0.4635041188773349 -0.39901908817090725 0.30888102440960397
 1.7778162514216829 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 -1.6260142273043765
 0.8326077009406828]","[0.8398034024637431 0.2696798912061659 -0.4479168576029991
 -0.4635041188773349 -0.39901908817090725 0.30888102440960397
 1.7539418802036117 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 0.7008542091551023
 0.8326077009406828]",74392,74398,1
445,"[-2.450461022326974 -2.2379937276271358 -0.4860450493984785
 2.157478130770716 -0.010085287405962618 0.30888102440960397
 0.8128937480246375 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 0.7008542091551023
 0.8326077009406828]","[1.2053883385515993 1.5235167006228167 -0.4824270457974476
 -0.4635041188773349 -0.843514860473701 0.30888102440960397
 1.462475598249659 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 0.7008542091551023
 0.8326077009406828]",74423,74370,-1
445,"[0.6570109344198151 0.2696798912061659 -0.5673109764370186
 -0.4635041188773349 -0.06564725894381189 0.30888102440960397
 1.5629469104590419 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 -1.6260142273043765
 -0.5589368945508569]","[-0.07415893775590057 0.2696798912061659 -0.4640587198229831
 -0.4635041188773349 1.5456499156538157 0.30888102440960397
 0.8666110832652978 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 0.36844443251803394
 -0.5589368945508569]",74458,74405,-1
445,"[0.47421846637588694 0.2696798912061659 -0.6599875302172713
 -0.4635041188773349 -0.5657050027844548 0.30888102440960397
 1.2028418112531343 -1.062762572597608 -1.062762572597608
 1.6105006587027777 1.4464376364191225 0.7008542091551023
 0.8326077009406828]","[-1.353706214063402 -0.984156918210485 -0.15040563841053584
 -0.4635041188773349 -1.0102007750872486 0.30888102440960397
 0.4055372891162973 -1.062762572597608 -1.062762572597608
 1.6105006587027777 1.4464376364191225 0.36844443251803394
 -0.5589368945508569]",74393,74480,1
445,"[-0.25695140579982867 -0.984156918210485 -0.3772266333982417
 -0.4635041188773349 -0.06564725894381189 0.30888102440960397
 1.0431819537322828 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 -1.6260142273043765
 -1.2547091922966267]","[0.6570109344198151 0.2696798912061659 -0.5851226864728629
 -0.4635041188773349 1.5456499156538157 1.9846028272928615
 2.211036612482934 -1.062762572597608 -1.062762572597608
 1.6105006587027777 1.4464376364191225 0.36844443251803394
 -0.5589368945508569]",74408,74495,-1
445,"[0.2914259983319556 0.2696798912061659 -0.5508908062477245
 -0.4635041188773349 2.7680132894864986 0.30888102440960397
 0.22399259131221402 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 0.36844443251803394
 -1.2547091922966267]","[0.10863353028802751 0.2696798912061659 0.3703085721686024
 -0.4635041188773349 -0.5657050027844548 0.30888102440960397
 1.421192831351744 -1.062762572597608 -1.062762572597608
 1.6105006587027777 1.4464376364191225 -1.6260142273043765
 0.8326077009406828]",74427,74471,-1
445,"[0.8398034024637431 0.2696798912061659 -0.6009862407235368
 -0.4635041188773349 1.8234597733430618 0.30888102440960397
 1.2495957882218571 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 0.7008542091551023
 0.8326077009406828]","[1.2053883385515993 1.5235167006228167 -0.7092480407851535
 -0.4635041188773349 2.3790794887215543 1.9846028272928615
 1.957371418290927 -1.062762572597608 -1.062762572597608
 1.6105006587027777 1.4464376364191225 -1.6260142273043765
 0.8326077009406828]",74426,74449,1
445,"[-0.9881212779755443 -0.984156918210485 0.13541664607090456
 2.157478130770716 2.5457654033351016 -1.3668407784736536
 0.4304064258017882 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 0.36844443251803394
 -0.5589368945508569]","[0.8398034024637431 0.2696798912061659 -0.6725113888362244
 -0.4635041188773349 -0.39901908817090725 0.30888102440960397
 1.6420307651189028 -1.062762572597608 -1.062762572597608
 1.6105006587027777 1.4464376364191225 0.7008542091551023
 0.8326077009406828]",74396,74440,1
445,"[-1.353706214063402 -0.984156918210485 -0.11394729443091685
 -0.4635041188773349 -0.39901908817090725 0.30888102440960397
 1.5480254284477475 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 0.36844443251803394
 -0.5589368945508569]","[-1.1709137460194723 -0.984156918210485 -0.5294610926108492
 -0.4635041188773349 2.323517517183704 0.30888102440960397
 0.19414962728962498 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 -1.2936044506673081
 0.8326077009406828]",74499,74390,-1
445,"[1.0225958705076712 1.5235167006228167 -0.7949668953326545
 -0.4635041188773349 -0.7879528889358518 1.9846028272928615
 2.316979134763125 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 0.7008542091551023
 0.8326077009406828]","[0.6570109344198151 0.2696798912061659 0.4440601840357706
 -0.4635041188773349 -0.39901908817090725 0.30888102440960397
 0.6288621365520052 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 0.7008542091551023
 0.8326077009406828]",74513,74349,-1
445,"[-0.8053288099316162 -0.984156918210485 5.1649982674424635
 2.157478130770716 -0.5101430312466056 0.30888102440960397
 1.0227892616501804 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 0.7008542091551023
 0.8326077009406828]","[0.6570109344198151 0.2696798912061659 -0.6633272258489922
 -0.4635041188773349 -0.39901908817090725 -3.0425625813569113
 -0.02469877554269458 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 -1.6260142273043765
 -1.2547091922966267]",74361,74350,-1
445,"[-0.6225363418876865 -0.984156918210485 -0.7070215770306729
 -0.4635041188773349 1.4345259725781172 0.30888102440960397
 0.7338098933647766 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 -1.6260142273043765
 0.8326077009406828]","[-0.43974387384375835 -0.984156918210485 -0.04158722241029903
 2.157478130770716 0.04547668413188666 1.9846028272928615
 1.579360540671466 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 0.36844443251803394
 -0.5589368945508569]",74482,74490,1
445,"[0.47421846637588694 0.2696798912061659 -0.4376194627385266
 -0.4635041188773349 -0.12120923048166116 0.30888102440960397
 0.9302760731801545 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 0.7008542091551023
 0.8326077009406828]","[0.6570109344198151 0.2696798912061659 -0.4245389881809533
 -0.4635041188773349 -0.6768289458601534 0.30888102440960397
 1.4271614241562618 -1.062762572597608 -1.062762572597608
 1.6105006587027777 1.4464376364191225 -1.6260142273043765
 0.8326077009406828]",74367,74478,1
445,"[-0.07415893775590057 0.2696798912061659 -0.382514484815133
 -0.4635041188773349 1.7678978018052123 0.30888102440960397
 0.7641502401210755 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 0.36844443251803394
 -0.5589368945508569]","[1.2053883385515993 1.5235167006228167 -0.7626831708926867
 -0.4635041188773349 -0.39901908817090725 0.30888102440960397
 0.9720562228117791 -1.062762572597608 -1.062762572597608
 1.6105006587027777 1.4464376364191225 0.7008542091551023
 0.8326077009406828]",74410,74473,1
445,"[-0.25695140579982867 -0.984156918210485 0.002385436740691798
 -0.4635041188773349 -0.28789514509520875 -1.3668407784736536
 0.5592285538326308 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 0.36844443251803394
 -0.5589368945508569]","[0.6570109344198151 0.2696798912061659 -0.7056300371841225
 -0.4635041188773349 -0.4545810597087564 1.9846028272928615
 2.3080262455563485 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 1.3656737624292392
 -0.5589368945508569]",74359,74507,1
445,"[-0.6225363418876865 -0.984156918210485 -0.8408877102688159
 -0.4635041188773349 -0.06564725894381189 0.30888102440960397
 0.5482861336910149 -1.062762572597608 -1.062762572597608
 1.6105006587027777 1.4464376364191225 0.7008542091551023
 0.8326077009406828]","[0.6570109344198151 0.2696798912061659 -0.7718673338799189
 -0.4635041188773349 0.10103865566973567 0.30888102440960397
 1.369465027045923 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 0.36844443251803394
 -0.5589368945508569]",74501,74469,1
445,"[-0.43974387384375835 -0.984156918210485 0.35945456136550974
 2.157478130770716 -0.39901908817090725 0.30888102440960397
 1.3077895680659057 -1.062762572597608 -1.062762572597608
 1.6105006587027777 1.4464376364191225 0.7008542091551023
 0.8326077009406828]","[0.8398034024637431 0.2696798912061659 -0.42871360772060435
 -0.4635041188773349 -1.0657627466250978 0.30888102440960397
 1.2978419133917094 -1.062762572597608 -1.062762572597608
 1.6105006587027777 1.4464376364191225 0.7008542091551023
 0.8326077009406828]",74511,74428,-1
445,"[0.8398034024637431 0.2696798912061659 -0.3513439922524053
 -0.4635041188773349 -0.5101430312466056 0.30888102440960397
 0.947684468859998 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 0.36844443251803394
 -0.5589368945508569]","[-0.07415893775590057 0.2696798912061659 -0.17795812737223263
 -0.4635041188773349 -0.7879528889358518 0.30888102440960397
 0.41051111645339544 -1.062762572597608 -1.062762572597608
 1.6105006587027777 1.4464376364191225 0.7008542091551023
 0.8326077009406828]",74446,74508,-1
445,"[0.47421846637588694 0.2696798912061659 -0.29373424260522113
 -0.4635041188773349 -0.39901908817090725 0.30888102440960397
 1.4475541162383643 -1.062762572597608 -1.062762572597608
 1.6105006587027777 1.4464376364191225 0.0360346558809655
 -0.5589368945508569]","[0.6570109344198151 0.2696798912061659 -0.5673109764370186
 -0.4635041188773349 -0.06564725894381189 0.30888102440960397
 1.5629469104590419 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 -1.6260142273043765
 -0.5589368945508569]",74356,74458,-1
445,"[-0.07415893775590057 0.2696798912061659 -0.6009862407235368
 -0.4635041188773349 0.10103865566973567 0.30888102440960397
 1.6027375291558272 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 -1.2936044506673081
 0.8326077009406828]","[0.10863353028802751 0.2696798912061659 0.34136454336035527
 -0.4635041188773349 -0.4545810597087564 -1.3668407784736536
 0.7641502401210755 -1.062762572597608 -1.062762572597608
 1.6105006587027777 1.4464376364191225 0.7008542091551023
 0.8326077009406828]",74462,74434,-1
445,"[-0.07415893775590057 0.2696798912061659 0.4031489125471905
 -0.4635041188773349 -0.4545810597087564 0.30888102440960397
 0.8049356242852805 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 0.36844443251803394
 -0.5589368945508569]","[-1.1709137460194723 -0.984156918210485 -0.5294610926108492
 -0.4635041188773349 2.323517517183704 0.30888102440960397
 0.19414962728962498 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 -1.2936044506673081
 0.8326077009406828]",74387,74390,1
445,"[-0.8053288099316162 -0.984156918210485 -0.2934559346359111
 -0.4635041188773349 -0.12120923048166116 0.30888102440960397
 0.7636528573873657 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 -1.6260142273043765
 -0.5589368945508569]","[0.6570109344198151 0.2696798912061659 -0.25811082253353235
 -0.4635041188773349 -0.39901908817090725 0.30888102440960397
 1.6728684946089114 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 0.7008542091551023
 0.8326077009406828]",74418,74368,-1
445,"[0.6570109344198151 0.2696798912061659 -0.5673109764370186
 -0.4635041188773349 -0.06564725894381189 0.30888102440960397
 1.5629469104590419 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 -1.6260142273043765
 -0.5589368945508569]","[0.10863353028802751 0.2696798912061659 -0.5180504658691364
 -0.4635041188773349 -0.010085287405962618 0.30888102440960397
 0.8367681192427088 -1.062762572597608 -1.062762572597608
 1.6105006587027777 1.4464376364191225 0.36844443251803394
 -0.5589368945508569]",74458,74433,1
445,"[0.6570109344198151 0.2696798912061659 -0.7056300371841225
 -0.4635041188773349 -0.4545810597087564 1.9846028272928615
 2.3080262455563485 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 1.3656737624292392
 -0.5589368945508569]","[-0.07415893775590057 0.2696798912061659 -0.3182253439045072
 -0.4635041188773349 -0.12120923048166116 -1.3668407784736536
 0.7939932041436645 -1.062762572597608 -1.062762572597608
 1.6105006587027777 1.4464376364191225 0.7008542091551023
 0.8326077009406828]",74507,74416,-1
445,"[-0.07415893775590057 0.2696798912061659 -0.4804788900122771
 -0.4635041188773349 -0.12120923048166116 0.30888102440960397
 1.1665328716923176 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 0.7008542091551023
 0.8326077009406828]","[-0.6225363418876865 -0.984156918210485 -0.1657125767225896
 -0.4635041188773349 -0.6768289458601534 0.30888102440960397
 0.7696214501918834 -1.062762572597608 -1.062762572597608
 1.6105006587027777 1.4464376364191225 0.36844443251803394
 -0.5589368945508569]",74477,74352,-1
445,"[0.6570109344198151 0.2696798912061659 0.27930186620421
 -0.4635041188773349 -0.39901908817090725 0.30888102440960397
 1.5559835521871044 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 0.36844443251803394
 -0.5589368945508569]","[-0.07415893775590057 0.2696798912061659 -0.2692431413059351
 -0.4635041188773349 1.4900879441159662 0.30888102440960397
 1.3863760399920568 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 0.36844443251803394
 -0.5589368945508569]",74403,74455,1
445,"[0.8398034024637431 0.2696798912061659 -0.512762614452245
 -0.4635041188773349 1.7678978018052123 0.30888102440960397
 2.230434539097617 -1.062762572597608 -1.062762572597608
 1.6105006587027777 1.4464376364191225 -1.6260142273043765
 -1.2547091922966267]","[1.936558210727315 2.7773535100394677 -0.7451497688261522
 2.157478130770716 -0.7323909173980025 0.30888102440960397
 2.5000159807683375 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 0.36844443251803394
 -0.5589368945508569]",74457,74503,-1
445,"[-2.6332534903709037 -2.2379937276271358 2.9616340744146505
 -0.4635041188773349 -0.39901908817090725 -1.3668407784736536
 -0.6061391912494709 -1.062762572597608 -1.062762572597608
 1.6105006587027777 1.4464376364191225 -1.6260142273043765
 -2.6462537877881664]","[-1.353706214063402 -0.984156918210485 -0.15040563841053584
 -0.4635041188773349 -1.0102007750872486 0.30888102440960397
 0.4055372891162973 -1.062762572597608 -1.062762572597608
 1.6105006587027777 1.4464376364191225 0.36844443251803394
 -0.5589368945508569]",74429,74480,1
445,"[-0.07415893775590057 0.2696798912061659 -0.2692431413059351
 -0.4635041188773349 1.4900879441159662 0.30888102440960397
 1.3863760399920568 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 0.36844443251803394
 -0.5589368945508569]","[-0.25695140579982867 -0.984156918210485 -0.3772266333982417
 -0.4635041188773349 -0.06564725894381189 0.30888102440960397
 1.0431819537322828 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 -1.6260142273043765
 -1.2547091922966267]",74455,74408,-1
445,"[0.8398034024637431 0.2696798912061659 1.2138600271474203
 2.157478130770716 -0.39901908817090725 0.30888102440960397
 1.9041514657839764 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 0.7008542091551023
 0.8326077009406828]","[1.2053883385515993 1.5235167006228167 -0.48521012549054826
 -0.4635041188773349 -1.121324718162947 0.30888102440960397
 1.3087843335333254 -1.062762572597608 -1.062762572597608
 1.6105006587027777 1.4464376364191225 -1.6260142273043765
 0.8326077009406828]",74378,74505,1
445,"[0.6570109344198151 0.2696798912061659 2.191834231303001
 -0.4635041188773349 -1.121324718162947 0.30888102440960397
 1.5634442931927517 -1.062762572597608 -1.062762572597608
 1.6105006587027777 1.4464376364191225 -1.6260142273043765
 0.8326077009406828]","[0.2914259983319556 0.2696798912061659 0.7162453780210176
 -0.4635041188773349 -0.39901908817090725 0.30888102440960397
 1.092422844369555 -1.062762572597608 -1.062762572597608
 1.6105006587027777 1.4464376364191225 0.36844443251803394
 0.8326077009406828]",74401,74397,1
445,"[-1.353706214063402 -0.984156918210485 -0.11283406255367658
 -0.4635041188773349 -0.06564725894381189 0.30888102440960397
 0.86064249046078 0.9409439377939296 0.9409439377939296 1.6105006587027777
 1.4464376364191225 0.7008542091551023 0.8326077009406828]","[-0.07415893775590057 0.2696798912061659 0.4031489125471905
 -0.4635041188773349 -0.4545810597087564 0.30888102440960397
 0.8049356242852805 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 0.36844443251803394
 -0.5589368945508569]",74453,74387,-1
445,"[-0.07415893775590057 0.2696798912061659 -0.2692431413059351
 -0.4635041188773349 1.4900879441159662 0.30888102440960397
 1.3863760399920568 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 0.36844443251803394
 -0.5589368945508569]","[0.10863353028802751 0.2696798912061659 0.3703085721686024
 -0.4635041188773349 -0.5657050027844548 0.30888102440960397
 1.421192831351744 -1.062762572597608 -1.062762572597608
 1.6105006587027777 1.4464376364191225 -1.6260142273043765
 0.8326077009406828]",74455,74471,-1
445,"[0.6570109344198151 0.2696798912061659 -0.26590344567421426
 -0.4635041188773349 -0.843514860473701 0.30888102440960397
 0.7870298458717271 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 -0.2963751207561029
 -0.5589368945508569]","[0.6570109344198151 0.2696798912061659 -0.7056300371841225
 -0.4635041188773349 -0.4545810597087564 1.9846028272928615
 2.3080262455563485 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 1.3656737624292392
 -0.5589368945508569]",74488,74507,1
445,"[0.8398034024637431 0.2696798912061659 1.2138600271474203
 2.157478130770716 -0.39901908817090725 0.30888102440960397
 1.9041514657839764 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 0.7008542091551023
 0.8326077009406828]","[-1.902083618195188 -0.984156918210485 0.3831107387568656
 -0.4635041188773349 0.04547668413188666 0.30888102440960397
 0.5308777380111712 -1.062762572597608 -1.062762572597608
 1.6105006587027777 1.4464376364191225 0.36844443251803394
 -0.5589368945508569]",74378,74509,1
445,"[1.0225958705076712 1.5235167006228167 -0.035464447085477524
 -0.4635041188773349 -0.39901908817090725 0.30888102440960397
 1.0635746458143855 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 -1.6260142273043765
 -0.5589368945508569]","[0.8398034024637431 0.2696798912061659 -0.3382635176948321
 -0.4635041188773349 -1.1768866897007964 -1.3668407784736536
 1.4311404860259405 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 1.3656737624292392
 0.8326077009406828]",74371,74358,1
445,"[-1.1709137460194723 -0.984156918210485 -0.6199111826366215
 -0.4635041188773349 1.4345259725781172 0.30888102440960397
 1.1401715868056972 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 1.3656737624292392
 -0.5589368945508569]","[-0.6225363418876865 -0.984156918210485 -0.8408877102688159
 -0.4635041188773349 -0.06564725894381189 0.30888102440960397
 0.5482861336910149 -1.062762572597608 -1.062762572597608
 1.6105006587027777 1.4464376364191225 0.7008542091551023
 0.8326077009406828]",74386,74501,-1
445,"[-0.8053288099316162 -0.984156918210485 -0.2934559346359111
 -0.4635041188773349 -0.12120923048166116 0.30888102440960397
 0.7636528573873657 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 -1.6260142273043765
 -0.5589368945508569]","[-0.07415893775590057 0.2696798912061659 -0.3182253439045072
 -0.4635041188773349 -0.12120923048166116 -1.3668407784736536
 0.7939932041436645 -1.062762572597608 -1.062762572597608
 1.6105006587027777 1.4464376364191225 0.7008542091551023
 0.8326077009406828]",74418,74416,1
445,"[-0.07415893775590057 0.2696798912061659 -0.2692431413059351
 -0.4635041188773349 1.4900879441159662 0.30888102440960397
 1.3863760399920568 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 0.36844443251803394
 -0.5589368945508569]","[1.0225958705076712 1.5235167006228167 -0.7738154896650894
 -0.4635041188773349 1.4345259725781172 0.30888102440960397
 1.0640720285480953 0.9409439377939296 0.9409439377939296
 1.6105006587027777 1.4464376364191225 0.36844443251803394
 -1.2547091922966267]",74455,74394,-1
445,"[0.10863353028802751 0.2696798912061659 -0.5767734473935608
 -0.4635041188773349 -0.5101430312466056 0.30888102440960397
 0.8815325652765924 -1.062762572597608 -1.062762572597608
 1.6105006587027777 1.4464376364191225 0.36844443251803394
 -0.5589368945508569]","[-1.353706214063402 -0.984156918210485 1.5375321954550298
 -0.4635041188773349 -0.39901908817090725 -1.3668407784736536
 0.7561921163817185 -1.062762572597608 -1.062762572597608
 1.6105006587027777 1.4464376364191225 0.7008542091551023
 0.8326077009406828]",74479,74448,-1
